id,name,price,breeds,is_for_dog,is_for_cat
87932003309,"Pet, 2% reduced fat milk",28.773899656465005,Sphynx - Hairless Cat,1,0
1810295,Plain tortilla wraps,68.62905211172388,shih-tzu,0,1
8410100070322,purina friskies,37.20832689418052,greater_swiss_mountain_dog,0,1
9003579310496,Turkey in gravy,64.40222616104178,Manx,1,0
87932600010,"Pet, Ultra Pasteurized Half & Half",5.689583725497015,saluki,0,1
8714265973116,Pâté poulet,78.36027282908213,Oriental Short Hair,1,0
87932000278,"Pet, Orange Juice",0.08342580995326432,Canadian Hairless,1,0
55800249500,One Smart Blend Lamb & Rice Formula,12.439454721243731,malamute,0,1
41244241088,Apple juice pet,29.596021891694257,Oriental Short Hair,1,0
7613033663246,Purina chaton,6.207709093997222,Pixiebob,1,0
87932003361,"Pet, reduced fat cultured buttermilk",8.959391428711408,schipperke,0,1
73657010920,oven baked dog biscuits,63.006284688202484,vizsla,0,1
7613035525641,Purina one poulet bœuf saumon dinde,14.167999229651393,Snowshoe,1,0
4305615476261,Rind & frische leber,6.490157160661569,papillon,0,1
7613036484770,cat food,17.6785611648407,Munchkin,1,0
8714265973116,Pâté poulet,38.7827262355788,Dilute Tortoiseshell,1,0
5407007142101,Doggy Dental Appel & Eucalyptus - Medium,35.18092483340327,airedale,0,1
87932600515,"Pet, 2% reduced fat milk",27.055597665749758,vizsla,0,1
8000066444505,Minestra di Vegatali,6.249913842293752,collie,0,1
87932003590,"Pet, Limited Edition Home Made Style Ice Cream, Mississippi Mud Pie",57.600678907649026,bedlington_terrier,0,1
87932000278,"Pet, Orange Juice",10.007150832196995,Chausie,1,0
8001154125603,Daily with chicken,21.970513737026668,Calico,1,0
4004218126435,Tetra bits,83.40356209087805,Siberian,1,0
8714265973116,Pâté poulet,68.34983854837421,Munchkin,1,0
5425007388084,softy minies,11.025364852485087,welsh_springer_spaniel,0,1
87932003590,"Pet, Limited Edition Home Made Style Ice Cream, Mississippi Mud Pie",76.07831223126739,shih-tzu,0,1
1810295,Plain tortilla wraps,38.839565719955594,border_terrier,0,1
87932600010,"Pet, Ultra Pasteurized Half & Half",65.36429248361651,great_pyrenees,0,1
87932000278,"Pet, Orange Juice",7.248822961304971,Japanese Bobtail,1,0
4008429037986,Dreamies with Delicious Cheese,43.77997817722501,Ragdoll,1,0
7613035220805,ProPlan Renal Function with chicken,34.64818060253212,Chartreux,1,0
87932003484,Premium Ice Cream,17.555741298980347,pomeranian,0,1
7613035525641,Purina one poulet bœuf saumon dinde,6.834276642902684,Oriental Short Hair,1,0
87932003477,Cream Bars,7.244229300845583,malamute,0,1
46798771272,Goldfish,77.52873247481502,Snowshoe,1,0
46798771272,Goldfish,3.754427632845825,Birman,1,0
87932600010,"Pet, Ultra Pasteurized Half & Half",70.9812491465251,cocker_spaniel,0,1
73657010920,oven baked dog biscuits,8.847658723309335,doberman,0,1
4008429037986,Dreamies with Delicious Cheese,55.24499216229687,Ragdoll,1,0
8410100070322,purina friskies,2.513604925687593,miniature_schnauzer,0,1
29046201,Topic Katzenfutter,20.012266334387654,Silver,1,0
5060166591175,Chicken & Ocean Fish,20.587141787526317,bedlington_terrier,0,1
3182550720854,Neutered young female,50.98604617861327,Exotic Shorthair,1,0
8714265975264,"Adult cat food, chicken",12.36163890073219,Devon Rex,1,0
73657009290,Classic Crafted Meals,1.4580848427941362,west_highland_white_terrier,0,1
55800249500,One Smart Blend Lamb & Rice Formula,4.3645094330892995,english_springer,0,1
41244241088,Apple juice pet,20.316292961101198,Burmese,1,0
87932003606,Ice Cream,11.559700924085565,Ocicat,1,0
8410100070322,purina friskies,7.554547578148308,golden_retriever,0,1
87932003590,"Pet, Limited Edition Home Made Style Ice Cream, Mississippi Mud Pie",6.055274471337997,doberman,0,1
87932003309,"Pet, 2% reduced fat milk",18.209327795348095,Siamese,1,0
8714265071362,Yarrah Bio chunks with chicken,16.264762185356897,Pixiebob,1,0
87932003484,Premium Ice Cream,16.431331351734116,shih-tzu,0,1
8410100070322,purina friskies,4.746258894821538,west_highland_white_terrier,0,1
20665654,Coshida saftige Leckerbissen In Gelee,13.236855575942869,Chartreux,1,0
87932003309,"Pet, 2% reduced fat milk",87.53474747404331,Maine Coon,1,0
